地区,2010年,2000年,1990年
北京,80.18,76.1,72.86
天津,78.89,74.91,72.32
河北,74.97,72.54,70.35
山西,74.92,71.65,68.97
内蒙古,74.44,69.87,65.68
辽宁,76.38,73.34,70.22
吉林,76.18,73.1,67.95
黑龙江,75.98,72.37,66.97
上海,80.26,78.14,74.9
江苏,76.63,73.91,71.37
浙江,77.73,74.7,71.78
安徽,75.08,71.85,69.48
福建,75.76,72.55,68.57
江西,74.33,68.95,66.11
山东,76.46,73.92,70.57
河南,74.57,71.54,70.15
湖北,74.87,71.08,67.25
湖南,74.7,70.66,66.93
广东,76.49,73.27,72.52
广西,75.11,71.29,68.72
海南,76.3,72.92,70.01
重庆,75.7,71.73,
四川,74.75,71.2,66.33
贵州,71.1,65.96,64.29
云南,69.54,65.49,63.49
西藏,68.17,64.37,59.64
陕西,74.68,70.07,67.4
甘肃,72.23,67.47,67.24
青海,69.96,66.03,60.57
宁夏,73.38,70.17,66.94
新疆,72.35,67.41,62.59
